"Org","OrgName","Cla","Pos","ClaPos","Salary"
"STAT","Statistics","PR","NDW","PR.NDW",174428
"MUST","Music School-String Technology","PR","FT1","PR.FT1",110225
"CSCI","Computer Science","PT","FT3","PT.FT3",98210
"PL","Philosophy","PR","FT1","PR.FT1",130714
"MUST","Music School-String Technology","PR","FT1","PR.FT1",126275
"CEUS","Central Eurasian Studies","PR","FT1","PR.FT1",79045
"EALC","East Asian Langs & Cultures","PR","FT1","PR.FT1",102090
"ENG","English","PC","FT2","PC.FT2",80398
"BI","Biology","PR","DST","PR.DST",212385
"BI","Biology","PC","FT2","PC.FT2",90000
"BI","Biology","PR","FT1","PR.FT1",103375
"GERM","Germanic Studies","PR","FT1","PR.FT1",102839
"JOUR","Journalism","PC","FT2","PC.FT2",89142
"PSY","Psychological & Brain Sciences","PT","FT3","PT.FT3",87514
"MUST","Music School-String Technology","PR","NDW","PR.NDW",140060
"BI","Biology","PR","DST","PR.DST",157908
"MUTH","Music Theory","PR","FT1","PR.FT1",95637
"ENG","English","PC","FT2","PC.FT2",69668
"MUST","Music School-String Technology","PR","FT1","PR.FT1",142025
"ANTH","Anthropology","PC","FT2","PC.FT2",74435
"MATH","Mathematics","PR","FT1","PR.FT1",103878
"LING","Linguistics","PR","FT1","PR.FT1",86831
"CMCL","Communication & Culture","PR","FT1","PR.FT1",129045
"CRIN","Curriculum & Instruction","PR","NDW","PR.NDW",121657
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",102204
"RPAD","Recreation,Park&Tourism Studie","PC","FT2","PC.FT2",98107
"HIST","History","PC","FT2","PC.FT2",84860
"FINH","Fine Arts - History","PC","FT2","PC.FT2",72627
"GEOG","Geography","PR","FT1","PR.FT1",131130
"MATH","Mathematics","PR","FT1","PR.FT1",71507
"OPT","Optometry","PT","FT3","PT.FT3",76139
"PHYS","Physics","PR","DST","PR.DST",155723
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",133320
"ENG","English","PC","FT2","PC.FT2",80868
"PSY","Psychological & Brain Sciences","PT","FT3","PT.FT3",79500
"ENG","English","PC","FT2","PC.FT2",87632
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",179750
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",112903
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",96149
"MUVO","Music-Voice Department","PR","FT1","PR.FT1",93346
"LING","Linguistics","PC","FT2","PC.FT2",82889
"BI","Biology","PC","FT2","PC.FT2",85673
"EALC","East Asian Langs & Cultures","PT","FT3","PT.FT3",59281
"HIST","History","PR","FT1","PR.FT1",90673
"BI","Biology","PT","FT3","PT.FT3",76630
"PSY","Psychological & Brain Sciences","PR","NDW","PR.NDW",168644
"MKTG","School of Business Marketing Department","PC","FT2","PC.FT2",165700
"PHYS","Physics","PT","FT3","PT.FT3",79861
"PSY","Psychological & Brain Sciences","PT","FT3","PT.FT3",86000
"BLAN","Dept of Business Law & Ethics","PR","NDW","PR.NDW",155600
"JOUR","Journalism","PT","FT3","PT.FT3",71400
"MATH","Mathematics","PR","DST","PR.DST",146390
"SPAN","Spanish & Portuguese","PR","FT1","PR.FT1",147970
"GEOG","Geography","PT","FT3","PT.FT3",72000
"CSCI","Computer Science","PR","FT1","PR.FT1",133340
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",191900
"EALC","East Asian Langs & Cultures","PC","FT2","PC.FT2",72550
"JOUR","Journalism","PT","FT3","PT.FT3",70010
"PHYS","Physics","PR","FT1","PR.FT1",144197
"ECON","Economics","PT","FT3","PT.FT3",100410
"SOC","Sociology","PT","FT3","PT.FT3",74832
"PL","Philosophy","PC","FT2","PC.FT2",78208
"CSCI","Computer Science","PR","FT1","PR.FT1",137720
"BI","Biology","PC","FT2","PC.FT2",96480
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",107178
"SPHS","Speech & Hearing Sciences","PC","FT2","PC.FT2",96822
"FOLK","Dept Folklore/Ethnomusicology","PT","FT3","PT.FT3",63735
"ELPS","Leadership & Policy Studies","PT","FT3","PT.FT3",63750
"AMST","American Studies","PT","FT3","PT.FT3",59508
"SLS","Second Language Studies","PC","FT2","PC.FT2",73312
"CRIN","Curriculum & Instruction","PT","FT3","PT.FT3",63500
"MATH","Mathematics","PC","FT2","PC.FT2",80000
"ELPS","Leadership & Policy Studies","PR","FT1","PR.FT1",89871
"PSY","Psychological & Brain Sciences","PT","FT3","PT.FT3",83000
"LGED","Language Education","PR","FT1","PR.FT1",90383
"MGMT","Dept Mangement & Entrep","PC","FT2","PC.FT2",164900
"CHEM","Chemistry","PC","FT2","PC.FT2",92412
"MKTG","School of Business Marketing Department","PC","FT2","PC.FT2",175100
"PHYS","Physics","PT","FT3","PT.FT3",77277
"MATH","Mathematics","PT","FT3","PT.FT3",79663
"HIST","History","PC","FT2","PC.FT2",86410
"KINE","Kinesiology","PC","FT2","PC.FT2",74955
"EALC","East Asian Langs & Cultures","PT","FT3","PT.FT3",70242
"BEPP","School of Business Economics & Public","PT","FT3","PT.FT3",128400
"APHS","Applied Health Science","PT","FT3","PT.FT3",74013
"APHS","Applied Health Science","PC","FT2","PC.FT2",90447
"MATH","Mathematics","PC","FT2","PC.FT2",82500
"HIST","History","PR","FT1","PR.FT1",119140
"ENG","English","PC","FT2","PC.FT2",79028
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",89072
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",75000
"THTR","Theatre & Drama","PC","FT2","PC.FT2",64037
"PHYS","Physics","PC","FT2","PC.FT2",91540
"SLIS","Library & Information Science","PT","FT3","PT.FT3",82590
"BI","Biology","PR","DST","PR.DST",144836
"MATH","Mathematics","PR","FT1","PR.FT1",107548
"ENG","English","PR","NDW","PR.NDW",121953
"PHYS","Physics","PR","FT1","PR.FT1",130673
"PHYS","Physics","PT","FT3","PT.FT3",79175
"STAT","Statistics","PR","DST","PR.DST",183987
"MUHI","Music School-Musicology","PR","FT1","PR.FT1",112145
"CEUS","Central Eurasian Studies","PC","FT2","PC.FT2",77953
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",148000
"BEPP","School of Business Economics & Public","PT","FT3","PT.FT3",128400
"PL","Philosophy","PR","FT1","PR.FT1",126395
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",100008
"AST","Astronomy","PR","FT1","PR.FT1",92021
"ECON","Economics","PT","FT3","PT.FT3",115687
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",94798
"SPHS","Speech & Hearing Sciences","PT","FT3","PT.FT3",80500
"CSCI","Computer Science","PR","FT1","PR.FT1",174275
"MATH","Mathematics","PR","FT1","PR.FT1",95000
"EALC","East Asian Langs & Cultures","PT","FT3","PT.FT3",63411
"BI","Biology","PR","DST","PR.DST",240026
"MATH","Mathematics","PR","FT1","PR.FT1",121546
"HIST","History","PT","FT3","PT.FT3",67205
"ENG","English","PC","FT2","PC.FT2",76000
"MKTG","School of Business Marketing Department","PR","NDW","PR.NDW",244000
"PSY","Psychological & Brain Sciences","PR","NDW","PR.NDW",268905
"POLS","Political Science","PC","FT2","PC.FT2",93923
"FRIT","French and Italian","PR","FT1","PR.FT1",83820
"APHS","Applied Health Science","PT","FT3","PT.FT3",76779
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",150500
"HIST","History","PT","FT3","PT.FT3",64394
"MGMT","Dept Mangement & Entrep","PT","FT3","PT.FT3",140500
"CMCL","Communication & Culture","PC","FT2","PC.FT2",65000
"MKTG","School of Business Marketing Department","PT","FT3","PT.FT3",150600
"CRIN","Curriculum & Instruction","PT","FT3","PT.FT3",61679
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",81200
"MATH","Mathematics","PR","FT1","PR.FT1",130477
"CRIN","Curriculum & Instruction","PC","FT2","PC.FT2",72654
"REL","Religious Studies","PC","FT2","PC.FT2",72828
"STAT","Statistics","PT","FT3","PT.FT3",86000
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",64786
"MUST","Music School-String Technology","PR","FT1","PR.FT1",139000
"BI","Biology","PT","FT3","PT.FT3",76618
"CMLT","Comparative Literature","PR","FT1","PR.FT1",87126
"JOUR","Journalism","PR","FT1","PR.FT1",105872
"CEDP","Counseling & Educational Psy","PC","FT2","PC.FT2",76180
"ELPS","Leadership & Policy Studies","PC","FT2","PC.FT2",66082
"BI","Biology","PR","FT1","PR.FT1",115599
"TELC","Telecommunications","PT","FT3","PT.FT3",67825
"CRIN","Curriculum & Instruction","PR","FT1","PR.FT1",94564
"ENG","English","PT","FT3","PT.FT3",72500
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",71658
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",148000
"FOLK","Dept Folklore/Ethnomusicology","PR","NDW","PR.NDW",124961
"GEOG","Geography","PT","FT3","PT.FT3",65056
"PL","Philosophy","PR","FT1","PR.FT1",106971
"ELPS","Leadership & Policy Studies","PC","FT2","PC.FT2",81534
"APHS","Applied Health Science","PR","FT1","PR.FT1",110397
"ELPS","Leadership & Policy Studies","PC","FT2","PC.FT2",89644
"FOLK","Dept Folklore/Ethnomusicology","PT","FT3","PT.FT3",62676
"STAT","Statistics","PT","FT3","PT.FT3",87193
"MUIN","Instrument Applied Music","PR","DST","PR.DST",125540
"MGMT","Dept Mangement & Entrep","PR","NDW","PR.NDW",247600
"FOLK","Dept Folklore/Ethnomusicology","PR","FT1","PR.FT1",119331
"AFRO","Afro-American Studies","PC","FT2","PC.FT2",68975
"HIST","History","PR","NDW","PR.NDW",129684
"CMLT","Comparative Literature","PR","FT1","PR.FT1",86825
"THTR","Theatre & Drama","PC","FT2","PC.FT2",68275
"POLS","Political Science","PR","FT1","PR.FT1",112570
"HIST","History","PT","FT3","PT.FT3",63995
"TELC","Telecommunications","PR","FT1","PR.FT1",87128
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",124376
"BI","Biology","PT","FT3","PT.FT3",76861
"MUIN","Instrument Applied Music","PC","FT2","PC.FT2",89090
"CRIN","Curriculum & Instruction","PT","FT3","PT.FT3",64770
"SOC","Sociology","PC","FT2","PC.FT2",86879
"MGMT","Dept Mangement & Entrep","PC","FT2","PC.FT2",164900
"CRIN","Curriculum & Instruction","PR","FT1","PR.FT1",98462
"MUTH","Music Theory","PR","FT1","PR.FT1",101600
"LGED","Language Education","PC","FT2","PC.FT2",74773
"INFO","Informatics","PC","FT2","PC.FT2",94320
"SPAN","Spanish & Portuguese","PC","FT2","PC.FT2",70000
"MUHI","Music School-Musicology","PR","FT1","PR.FT1",98013
"INFO","Informatics","PR","FT1","PR.FT1",138789
"FRIT","French and Italian","PR","FT1","PR.FT1",91690
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",95366
"PHYS","Physics","PR","FT1","PR.FT1",112616
"JOUR","Journalism","PT","FT3","PT.FT3",70276
"APHS","Applied Health Science","PT","FT3","PT.FT3",74522
"BI","Biology","PC","FT2","PC.FT2",119646
"ECON","Economics","PT","FT3","PT.FT3",111170
"SOC","Sociology","PC","FT2","PC.FT2",100498
"REL","Religious Studies","PT","FT3","PT.FT3",61603
"FRIT","French and Italian","PR","FT1","PR.FT1",169160
"KINE","Kinesiology","PR","FT1","PR.FT1",105885
"ENG","English","PR","FT1","PR.FT1",111372
"ENG","English","PR","FT1","PR.FT1",98000
"ACTG","School of Business Accounting Department","PT","FT3","PT.FT3",192600
"OPT","Optometry","PR","FT1","PR.FT1",101490
"REL","Religious Studies","PR","FT1","PR.FT1",140912
"MGMT","Dept Mangement & Entrep","PT","FT3","PT.FT3",142000
"OADT","Business Operations & Decision Technolog","PT","FT3","PT.FT3",152600
"CSCI","Computer Science","PC","FT2","PC.FT2",80118
"SLIS","Library & Information Science","PT","FT3","PT.FT3",92396
"CHEM","Chemistry","PR","FT1","PR.FT1",162343
"BI","Biology","PC","FT2","PC.FT2",97000
"ENG","English","PT","FT3","PT.FT3",62486
"MUVO","Music-Voice Department","PR","FT1","PR.FT1",84575
"BI","Biology","PT","FT3","PT.FT3",77052
"HIST","History","PC","FT2","PC.FT2",75000
"ENG","English","PC","FT2","PC.FT2",77500
"MKTG","School of Business Marketing Department","PR","NDW","PR.NDW",232600
"MATH","Mathematics","PR","FT1","PR.FT1",103084
"RPAD","Recreation,Park&Tourism Studie","PC","FT2","PC.FT2",80787
"HIST","History","PT","FT3","PT.FT3",72676
"BI","Biology","PC","FT2","PC.FT2",86240
"REL","Religious Studies","PT","FT3","PT.FT3",61332
"ANTH","Anthropology","PC","FT2","PC.FT2",86868
"AST","Astronomy","PR","FT1","PR.FT1",114309
"BI","Biology","PC","FT2","PC.FT2",83058
"MUST","Music School-String Technology","PR","FT1","PR.FT1",105762
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",75149
"PSY","Psychological & Brain Sciences","PT","FT3","PT.FT3",80500
"SPHS","Speech & Hearing Sciences","PR","FT1","PR.FT1",108985
"PHYS","Physics","PR","FT1","PR.FT1",133999
"MUHI","Music School-Musicology","PC","FT2","PC.FT2",73035
"HIST","History","PC","FT2","PC.FT2",76182
"SPAN","Spanish & Portuguese","PR","FT1","PR.FT1",102304
"CSCI","Computer Science","PC","FT2","PC.FT2",107341
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",179850
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",84456
"SPAN","Spanish & Portuguese","PC","FT2","PC.FT2",72361
"MUIN","Instrument Applied Music","PC","FT2","PC.FT2",91039
"ENG","English","PR","FT1","PR.FT1",96538
"MGMT","Dept Mangement & Entrep","PR","NDW","PR.NDW",199000
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",99163
"ELPS","Leadership & Policy Studies","PC","FT2","PC.FT2",82000
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",115000
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",86919
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",73632
"PSY","Psychological & Brain Sciences","PC","FT2","PC.FT2",82855
"BI","Biology","PT","FT3","PT.FT3",76787
"CSCI","Computer Science","PT","FT3","PT.FT3",94487
"HIST","History","PC","FT2","PC.FT2",124238
"GEOL","Geological Sciences","PT","FT3","PT.FT3",68924
"MUVO","Music-Voice Department","PR","DST","PR.DST",113038
"PSY","Psychological & Brain Sciences","PR","DST","PR.DST",183682
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",79050
"LGED","Language Education","PC","FT2","PC.FT2",79731
"EALC","East Asian Langs & Cultures","PC","FT2","PC.FT2",73000
"PL","Philosophy","PR","FT1","PR.FT1",161417
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",98707
"CHEM","Chemistry","PC","FT2","PC.FT2",96467
"APHS","Applied Health Science","PC","FT2","PC.FT2",86346
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",167050
"CRIN","Curriculum & Instruction","PC","FT2","PC.FT2",72842
"BI","Biology","PC","FT2","PC.FT2",59882
"SOC","Sociology","PC","FT2","PC.FT2",106000
"GEOL","Geological Sciences","PC","FT2","PC.FT2",79966
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",152000
"MATH","Mathematics","PR","FT1","PR.FT1",93896
"PHYS","Physics","PR","FT1","PR.FT1",137763
"CHEM","Chemistry","PR","DST","PR.DST",153281
"MUHI","Music School-Musicology","PR","FT1","PR.FT1",91806
"EALC","East Asian Langs & Cultures","PT","FT3","PT.FT3",65000
"CEUS","Central Eurasian Studies","PT","FT3","PT.FT3",64589
"ECON","Economics","PR","FT1","PR.FT1",235719
"BI","Biology","PR","DST","PR.DST",232017
"CMLT","Comparative Literature","PC","FT2","PC.FT2",71330
"INFO","Informatics","PC","FT2","PC.FT2",83727
"JOUR","Journalism","PR","FT1","PR.FT1",91611
"CRIN","Curriculum & Instruction","PC","FT2","PC.FT2",71399
"ECON","Economics","PR","NDW","PR.NDW",250230
"ACTG","School of Business Accounting Department","PR","FT1","PR.FT1",137400
"SPHS","Speech & Hearing Sciences","PT","FT3","PT.FT3",82248
"TELC","Telecommunications","PC","FT2","PC.FT2",72341
"GEOL","Geological Sciences","PR","FT1","PR.FT1",128953
"LGED","Language Education","PC","FT2","PC.FT2",77754
"OADT","Business Operations & Decision Technolog","PT","FT3","PT.FT3",150100
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",91386
"CEDP","Counseling & Educational Psy","PT","FT3","PT.FT3",76875
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",123492
"HIST","History","PT","FT3","PT.FT3",67040
"BLAN","Dept of Business Law & Ethics","PT","FT3","PT.FT3",113200
"SOC","Sociology","PR","DST","PR.DST",162956
"CHEM","Chemistry","PR","NDW","PR.NDW",151913
"CMCL","Communication & Culture","PC","FT2","PC.FT2",78231
"BI","Biology","PT","FT3","PT.FT3",76939
"ANTH","Anthropology","PR","FT1","PR.FT1",88913
"RPAD","Recreation,Park&Tourism Studie","PT","FT3","PT.FT3",75271
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",96600
"AST","Astronomy","PR","NDW","PR.NDW",206702
"MATH","Mathematics","PR","FT1","PR.FT1",97808
"MATH","Mathematics","PR","FT1","PR.FT1",107705
"SPEA","Public & Environmental Affairs","PR","NDW","PR.NDW",143910
"THTR","Theatre & Drama","PC","FT2","PC.FT2",70824
"PSY","Psychological & Brain Sciences","PR","DST","PR.DST",187697
"INFO","Informatics","PR","FT1","PR.FT1",151402
"CHEM","Chemistry","PR","NDW","PR.NDW",162685
"GEOL","Geological Sciences","PR","FT1","PR.FT1",86175
"BI","Biology","PT","FT3","PT.FT3",78755
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",220000
"OPT","Optometry","PT","FT3","PT.FT3",76343
"TELC","Telecommunications","PC","FT2","PC.FT2",81921
"MUVO","Music-Voice Department","PR","FT1","PR.FT1",110135
"SOC","Sociology","PR","NDW","PR.NDW",144000
"CMCL","Communication & Culture","PT","FT3","PT.FT3",61000
"LGED","Language Education","PC","FT2","PC.FT2",72464
"ACTG","School of Business Accounting Department","PR","NDW","PR.NDW",237100
"BLAN","Dept of Business Law & Ethics","PC","FT2","PC.FT2",117600
"MUIN","Instrument Applied Music","PR","DST","PR.DST",170007
"PSY","Psychological & Brain Sciences","PC","FT2","PC.FT2",75988
"BEPP","School of Business Economics & Public","PC","FT2","PC.FT2",151600
"CSCI","Computer Science","PR","FT1","PR.FT1",113952
"ECON","Economics","PC","FT2","PC.FT2",172000
"ANTH","Anthropology","PR","FT1","PR.FT1",89588
"PHYS","Physics","PR","FT1","PR.FT1",170445
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",148000
"CSCI","Computer Science","PC","FT2","PC.FT2",114036
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",82020
"CHEM","Chemistry","PR","FT1","PR.FT1",213716
"KINE","Kinesiology","PR","FT1","PR.FT1",118586
"GEOG","Geography","PC","FT2","PC.FT2",78540
"MATH","Mathematics","PT","FT3","PT.FT3",82000
"RPAD","Recreation,Park&Tourism Studie","PT","FT3","PT.FT3",67779
"CSCI","Computer Science","PR","FT1","PR.FT1",128295
"GERM","Germanic Studies","PR","FT1","PR.FT1",105985
"POLS","Political Science","PR","FT1","PR.FT1",118467
"BEPP","School of Business Economics & Public","PR","NDW","PR.NDW",174900
"BEPP","School of Business Economics & Public","PC","FT2","PC.FT2",140200
"CEUS","Central Eurasian Studies","PR","FT1","PR.FT1",138010
"CSCI","Computer Science","PC","FT2","PC.FT2",75639
"JOUR","Journalism","PR","FT1","PR.FT1",90238
"BLAN","Dept of Business Law & Ethics","PT","FT3","PT.FT3",98600
"POLS","Political Science","PC","FT2","PC.FT2",82024
"FOLK","Dept Folklore/Ethnomusicology","PC","FT2","PC.FT2",69919
"MKTG","School of Business Marketing Department","PC","FT2","PC.FT2",155400
"ACTG","School of Business Accounting Department","PC","FT2","PC.FT2",198000
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",71921
"FINH","Fine Arts - History","PC","FT2","PC.FT2",74363
"CHEM","Chemistry","PR","FT1","PR.FT1",195449
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",92925
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",127355
"BI","Biology","PC","FT2","PC.FT2",81000
"AST","Astronomy","PC","FT2","PC.FT2",79010
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",139719
"FINS","Fine Arts Studio","PT","FT3","PT.FT3",62968
"BI","Biology","PR","DST","PR.DST",166072
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",137615
"GEOL","Geological Sciences","PR","FT1","PR.FT1",123984
"SPAN","Spanish & Portuguese","PT","FT3","PT.FT3",62500
"SLIS","Library & Information Science","PC","FT2","PC.FT2",93945
"MUIN","Instrument Applied Music","PC","FT2","PC.FT2",101031
"GEOG","Geography","PR","FT1","PR.FT1",123956
"HIST","History","PR","FT1","PR.FT1",97693
"EALC","East Asian Langs & Cultures","PR","FT1","PR.FT1",101001
"STAT","Statistics","PT","FT3","PT.FT3",77791
"INFO","Informatics","PR","FT1","PR.FT1",137204
"SOC","Sociology","PC","FT2","PC.FT2",82443
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",111073
"HIST","History","PC","FT2","PC.FT2",70000
"AFRO","Afro-American Studies","PR","FT1","PR.FT1",86417
"RPAD","Recreation,Park&Tourism Studie","PR","FT1","PR.FT1",124365
"ELPS","Leadership & Policy Studies","PR","FT1","PR.FT1",122261
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",99972
"FRIT","French and Italian","PC","FT2","PC.FT2",69532
"BI","Biology","PC","FT2","PC.FT2",96054
"GEOG","Geography","PT","FT3","PT.FT3",75772
"EALC","East Asian Langs & Cultures","PR","FT1","PR.FT1",127425
"ELPS","Leadership & Policy Studies","PT","FT3","PT.FT3",71750
"CEDP","Counseling & Educational Psy","PT","FT3","PT.FT3",77056
"PSY","Psychological & Brain Sciences","PT","FT3","PT.FT3",77077
"INFO","Informatics","PT","FT3","PT.FT3",82056
"SPAN","Spanish & Portuguese","PR","FT1","PR.FT1",117010
"HIST","History","PT","FT3","PT.FT3",71540
"KINE","Kinesiology","PC","FT2","PC.FT2",89573
"FINH","Fine Arts - History","PT","FT3","PT.FT3",65500
"ENG","English","PC","FT2","PC.FT2",76497
"MUTH","Music Theory","PC","FT2","PC.FT2",72045
"LGED","Language Education","PT","FT3","PT.FT3",62648
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",148000
"HIST","History","PR","FT1","PR.FT1",106598
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",90610
"EALC","East Asian Langs & Cultures","PC","FT2","PC.FT2",77703
"SPAN","Spanish & Portuguese","PR","FT1","PR.FT1",97485
"CRIN","Curriculum & Instruction","PT","FT3","PT.FT3",64871
"POLS","Political Science","PR","FT1","PR.FT1",146998
"ANTH","Anthropology","PR","FT1","PR.FT1",94143
"GEOL","Geological Sciences","PR","FT1","PR.FT1",104387
"ENG","English","PR","NDW","PR.NDW",97659
"HIST","History","PT","FT3","PT.FT3",65740
"PL","Philosophy","PR","FT1","PR.FT1",112570
"HIST","History","PR","FT1","PR.FT1",112030
"ANTH","Anthropology","PC","FT2","PC.FT2",74253
"REL","Religious Studies","PC","FT2","PC.FT2",75000
"FOLK","Dept Folklore/Ethnomusicology","PC","FT2","PC.FT2",63767
"FINH","Fine Arts - History","PT","FT3","PT.FT3",60890
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",149500
"AMST","American Studies","PC","FT2","PC.FT2",76875
"CMCL","Communication & Culture","PC","FT2","PC.FT2",75267
"CEUS","Central Eurasian Studies","PC","FT2","PC.FT2",65381
"AMST","American Studies","PC","FT2","PC.FT2",74584
"MGMT","Dept Mangement & Entrep","PC","FT2","PC.FT2",166900
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",109891
"APHS","Applied Health Science","PC","FT2","PC.FT2",98201
"ANTH","Anthropology","PR","FT1","PR.FT1",190674
"PHYS","Physics","PT","FT3","PT.FT3",76836
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",82133
"PHYS","Physics","PC","FT2","PC.FT2",99494
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",218000
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",101354
"MATH","Mathematics","PC","FT2","PC.FT2",76137
"BLAN","Dept of Business Law & Ethics","PT","FT3","PT.FT3",111000
"CEUS","Central Eurasian Studies","PR","FT1","PR.FT1",112225
"CSCI","Computer Science","PT","FT3","PT.FT3",95950
"PL","Philosophy","PT","FT3","PT.FT3",60555
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",107422
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",110109
"BI","Biology","PC","FT2","PC.FT2",83379
"KINE","Kinesiology","PR","FT1","PR.FT1",150884
"ACTG","School of Business Accounting Department","PT","FT3","PT.FT3",181200
"MGMT","Dept Mangement & Entrep","PR","NDW","PR.NDW",234800
"PHYS","Physics","PC","FT2","PC.FT2",95000
"PSY","Psychological & Brain Sciences","PR","DST","PR.DST",308228
"SLS","Second Language Studies","PT","FT3","PT.FT3",58791
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",187300
"SPHS","Speech & Hearing Sciences","PC","FT2","PC.FT2",102841
"HIST","History","PC","FT2","PC.FT2",72838
"FOLK","Dept Folklore/Ethnomusicology","PC","FT2","PC.FT2",72962
"REL","Religious Studies","PC","FT2","PC.FT2",73920
"INFO","Informatics","PR","FT1","PR.FT1",138794
"CSCI","Computer Science","PC","FT2","PC.FT2",115000
"INFO","Informatics","PC","FT2","PC.FT2",115000
"CEUS","Central Eurasian Studies","PR","NDW","PR.NDW",78629
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",157003
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",119961
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",169912
"CMCL","Communication & Culture","PC","FT2","PC.FT2",79360
"MUVO","Music-Voice Department","PR","FT1","PR.FT1",97284
"POLS","Political Science","PC","FT2","PC.FT2",85000
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",98581
"CHEM","Chemistry","PT","FT3","PT.FT3",90000
"MKTG","School of Business Marketing Department","PC","FT2","PC.FT2",182500
"MUHI","Music School-Musicology","PC","FT2","PC.FT2",62010
"CHEM","Chemistry","PC","FT2","PC.FT2",120000
"PSY","Psychological & Brain Sciences","PR","DST","PR.DST",211827
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",68076
"APHS","Applied Health Science","PC","FT2","PC.FT2",104145
"POLS","Political Science","PC","FT2","PC.FT2",88006
"CHEM","Chemistry","PT","FT3","PT.FT3",80000
"AMST","American Studies","PC","FT2","PC.FT2",74938
"MATH","Mathematics","PT","FT3","PT.FT3",86627
"BI","Biology","PT","FT3","PT.FT3",76885
"PHYS","Physics","PR","FT1","PR.FT1",172753
"MATH","Mathematics","PR","FT1","PR.FT1",89234
"OADT","Business Operations & Decision Technolog","PC","FT2","PC.FT2",169100
"HIST","History","PC","FT2","PC.FT2",88009
"POLS","Political Science","PC","FT2","PC.FT2",72254
"CEUS","Central Eurasian Studies","PC","FT2","PC.FT2",94509
"MUIN","Instrument Applied Music","PC","FT2","PC.FT2",89020
"PSY","Psychological & Brain Sciences","PR","NDW","PR.NDW",150000
"ACTG","School of Business Accounting Department","PR","FT1","PR.FT1",207700
"GERM","Germanic Studies","PR","NDW","PR.NDW",86720
"OPT","Optometry","PC","FT2","PC.FT2",79945
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",208100
"AFRO","Afro-American Studies","PR","FT1","PR.FT1",114972
"KINE","Kinesiology","PC","FT2","PC.FT2",88912
"SOC","Sociology","PC","FT2","PC.FT2",86883
